invoice_no,client_name,client_email,amount,due_date,follow_up_count,status
TCI-2026-0034,Nisha Luthra,nisha.luthra@wipro.com,7141,2026-05-04,0,PENDING
TCI-2026-0035,Aishwarya Puri,aishwarya.puri@parle.com,18044,2026-04-16,2,PENDING
TCI-2026-0036,Neel Chawla,neel.chawla@pharmeasy.in,347815,2026-04-15,2,PAID
TCI-2026-0037,Aarav Sinha,aarav.sinha@mphasis.com,816364,2026-04-18,3,PENDING
TCI-2026-0038,Diya Rastogi,diya.rastogi@tatapower.com,13898,2026-05-07,0,PENDING
TCI-2026-0039,Sia Jain,sia.jain@adani.com,1074844,2026-04-27,0,PENDING
TCI-2026-0040,Ananya Kohli,ananya.kohli@rivigo.com,138377,2026-05-28,0,PENDING
TCI-2026-0041,Sai Bedi,sai.bedi@zerodha.com,74896,2026-04-25,2,PENDING
TCI-2026-0042,Ananya Pant,ananya.pant@hcl.com,17610,2026-04-29,0,PENDING
TCI-2026-0043,Diya Pant,diya.pant@dream11.com,14684,2026-05-08,0,PENDING
TCI-2026-0044,Pranav Narayan,pranav.narayan@browserstack.com,405336,2026-04-19,1,PENDING
TCI-2026-0045,Krishna Garg,krishna.garg@wipro.com,295437,2026-05-26,0,PENDING
TCI-2026-0046,Advait Jolly,advait.jolly@ltts.com,35383,2026-04-22,2,PENDING
TCI-2026-0047,Mahira Mehra,mahira.mehra@zomato.com,159944,2026-05-02,2,PENDING
TCI-2026-0048,Vivaan Chakraborty,vivaan.chakraborty@udaan.com,124708,2026-05-04,1,PENDING
TCI-2026-0049,Aarav Narayan,aarav.narayan@druva.com,13177,2026-05-22,0,PENDING
TCI-2026-0050,Ishaan Tandon,ishaan.tandon@druva.com,12032,2026-05-08,0,PENDING
TCI-2026-0051,Dhriti Yadav,dhriti.yadav@razorpay.com,40838,2026-04-18,2,PENDING
TCI-2026-0052,Ananya Nagpal,ananya.nagpal@dream11.com,14757,2026-04-22,1,PENDING
TCI-2026-0053,Rudra Bedi,rudra.bedi@paytm.com,885471,2026-04-14,3,PENDING
TCI-2026-0054,Vedant Walia,vedant.walia@mphasis.com,7323,2026-03-12,4,PENDING
TCI-2026-0055,Harsh Sethi,harsh.sethi@phonepe.com,40107,2026-05-04,1,PENDING
TCI-2026-0056,Mahira Bajpai,mahira.bajpai@itc.in,12082,2026-04-14,3,PENDING
TCI-2026-0057,Darsh Chawla,darsh.chawla@udaan.com,14015,2026-02-18,3,PENDING
TCI-2026-0058,Arjun Pant,arjun.pant@cred.club,18369,2026-04-25,3,PENDING
TCI-2026-0059,Reyansh Trehan,reyansh.trehan@makemytrip.com,16935,2026-03-05,3,PAID
TCI-2026-0060,Myra Nagpal,myra.nagpal@mdt.co.in,187647,2026-05-08,1,PENDING
TCI-2026-0061,Ananya Arora,ananya.arora@phonepe.com,738973,2026-04-25,2,PENDING
TCI-2026-0062,Mahira Tandon,mahira.tandon@meesho.com,8687,2026-03-18,1,PAID
TCI-2026-0063,Ira Garg,ira.garg@delhivery.com,39055,2026-04-10,3,PENDING
TCI-2026-0064,Dhriti Chawla,dhriti.chawla@meesho.com,493323,2026-05-08,1,PENDING
TCI-2026-0065,Zara Iyengar,zara.iyengar@mphasis.com,19965,2026-05-06,0,PENDING
TCI-2026-0066,Pihu Agrawal,pihu.agrawal@boAt.in,16592,2026-04-29,1,PENDING
TCI-2026-0067,Sai Fernandes,sai.fernandes@zerodha.com,278603,2026-05-08,1,PENDING
TCI-2026-0068,Vedant Tandon,vedant.tandon@zoho.com,236590,2026-03-03,2,PAID
TCI-2026-0069,Nisha Zaveri,nisha.zaveri@boAt.in,562258,2026-04-30,0,PENDING
TCI-2026-0070,Kabir Iyengar,kabir.iyengar@flipkart.in,65597,2026-04-10,4,PENDING
TCI-2026-0071,Arnav Garg,arnav.garg@freshworks.com,121306,2026-03-18,3,PAID
TCI-2026-0072,Ishaan Iyengar,ishaan.iyengar@udaan.com,214967,2026-04-16,4,PENDING
TCI-2026-0073,Dev Grover,dev.grover@infosys.com,659832,2026-05-08,0,PENDING
TCI-2026-0074,Ananya Trehan,ananya.trehan@paytm.com,870540,2026-05-04,1,PENDING
TCI-2026-0075,Ira Grover,ira.grover@unacademy.com,15025,2026-02-21,4,PENDING
TCI-2026-0076,Harsh Pant,harsh.pant@nykaa.com,249094,2026-05-01,0,PENDING
TCI-2026-0077,Rudra Iyengar,rudra.iyengar@groww.in,208129,2026-05-23,0,PENDING
TCI-2026-0078,Mahira Mehra,mahira.mehra@makemytrip.com,1078720,2026-05-21,0,PENDING
TCI-2026-0079,Vivaan Handa,vivaan.handa@dream11.com,92378,2026-05-05,0,PENDING
TCI-2026-0080,Krishna Datta,krishna.datta@mphasis.com,222199,2026-04-10,2,PENDING
TCI-2026-0081,Arjun Agrawal,arjun.agrawal@cyient.com,316354,2026-05-05,1,PENDING
TCI-2026-0082,Avni Trehan,avni.trehan@reliance.com,34196,2026-05-30,0,PENDING
TCI-2026-0083,Arnav Luthra,arnav.luthra@makemytrip.com,18496,2026-04-18,3,PENDING
TCI-2026-0084,Vihaan Trehan,vihaan.trehan@flipkart.in,178141,2026-02-05,3,PENDING
TCI-2026-0085,Riya Narayan,riya.narayan@mamaearth.in,83364,2026-04-30,2,PENDING
TCI-2026-0086,Dhriti Madan,dhriti.madan@mdt.co.in,144190,2026-05-02,1,PENDING
TCI-2026-0087,Vedant Arora,vedant.arora@infosys.com,12028,2026-04-26,0,PENDING
TCI-2026-0088,Atharv Qureshi,atharv.qureshi@dream11.com,9165,2026-05-17,0,PENDING
TCI-2026-0089,Nisha Qureshi,nisha.qureshi@lenskart.com,180145,2026-05-08,0,PENDING
TCI-2026-0090,Ishaan Mehra,ishaan.mehra@dailyhunt.in,1180136,2026-04-20,3,PENDING
TCI-2026-0091,Ananya Upadhyay,ananya.upadhyay@parle.com,350597,2026-04-28,0,PENDING
TCI-2026-0092,Aishwarya Datta,aishwarya.datta@unacademy.com,1021048,2026-02-14,5,PENDING
TCI-2026-0093,Harsh Vohra,harsh.vohra@unacademy.com,25865,2026-04-12,2,PENDING
TCI-2026-0094,Aanya Arora,aanya.arora@dream11.com,14678,2026-05-25,0,PENDING
TCI-2026-0095,Yash Nagpal,yash.nagpal@infosys.com,12079,2026-01-16,5,PENDING
TCI-2026-0096,Omkar Bedi,omkar.bedi@itc.in,40909,2026-04-24,2,PENDING
TCI-2026-0097,Pihu Xalxo,pihu.xalxo@adani.com,51685,2026-04-28,1,PENDING
TCI-2026-0098,Saanvi Rastogi,saanvi.rastogi@upstox.com,18137,2026-04-27,1,PENDING
TCI-2026-0099,Aadhya Hora,aadhya.hora@mamaearth.in,174875,2026-04-15,2,PENDING
TCI-2026-0100,Gauri Hora,gauri.hora@amul.coop,17578,2026-05-16,0,PENDING
TCI-2026-0101,Krishna Oberoi,krishna.oberoi@techmahindra.com,11817,2026-03-15,3,PENDING
TCI-2026-0102,Aadhya Oberoi,aadhya.oberoi@itc.in,10271,2026-05-07,1,PENDING
TCI-2026-0103,Kabir Xalxo,kabir.xalxo@mamaearth.in,318235,2026-05-28,0,PENDING
TCI-2026-0104,Aditya Nagpal,aditya.nagpal@mphasis.com,149019,2026-05-04,1,PENDING
TCI-2026-0105,Dev Uppal,dev.uppal@upstox.com,315273,2026-03-22,1,PAID
TCI-2026-0106,Dev Grover,dev.grover@razorpay.com,17417,2026-05-21,0,PENDING
TCI-2026-0107,Rishi Pant,rishi.pant@boAt.in,578193,2026-05-17,0,PENDING
TCI-2026-0108,Rudra Tandon,rudra.tandon@cyient.com,6081,2026-04-15,2,PENDING
TCI-2026-0109,Kabir Yadav,kabir.yadav@lenskart.com,36095,2026-04-26,2,PENDING
TCI-2026-0110,Dhruv Khatri,dhruv.khatri@cyient.com,499929,2026-05-04,0,PENDING
TCI-2026-0111,Diya Pant,diya.pant@mindtree.com,4250,2026-05-07,1,PENDING
TCI-2026-0112,Ishaan Dalal,ishaan.dalal@makemytrip.com,167782,2026-05-08,0,PENDING
TCI-2026-0113,Aanya Qureshi,aanya.qureshi@udaan.com,74058,2026-03-19,2,PAID
TCI-2026-0114,Harsh Handa,harsh.handa@1mg.com,29157,2026-05-06,1,PENDING
TCI-2026-0115,Kiara Arora,kiara.arora@byju.com,18124,2026-04-19,2,PENDING
TCI-2026-0116,Krish Nagpal,krish.nagpal@phonepe.com,83207,2026-04-12,2,PENDING
TCI-2026-0117,Arjun Fernandes,arjun.fernandes@freshworks.com,4014,2026-05-10,0,PENDING
TCI-2026-0118,Pranav Rathore,pranav.rathore@mphasis.com,482581,2026-05-02,1,PENDING
TCI-2026-0119,Ananya Garg,ananya.garg@byju.com,41013,2026-04-20,2,PENDING
TCI-2026-0120,Saanvi Chakraborty,saanvi.chakraborty@patanjali.com,127565,2026-04-15,4,PENDING
TCI-2026-0121,Krish Hora,krish.hora@cred.club,17142,2026-05-13,0,PENDING
TCI-2026-0122,Aishwarya Luthra,aishwarya.luthra@byju.com,7771,2026-04-19,2,PENDING
TCI-2026-0123,Reyansh Puri,reyansh.puri@unacademy.com,762087,2026-04-20,3,PENDING
TCI-2026-0124,Ira Kohli,ira.kohli@sharechat.com,1084946,2026-04-26,1,PENDING
TCI-2026-0125,Darsh Puri,darsh.puri@mindtree.com,7062,2026-05-17,0,PENDING
TCI-2026-0126,Gauri Kohli,gauri.kohli@makemytrip.com,17236,2026-05-08,1,PENDING
TCI-2026-0127,Gauri Rastogi,gauri.rastogi@swiggy.com,126848,2026-05-08,1,PENDING
TCI-2026-0128,Kabir Narayan,kabir.narayan@ltts.com,31032,2026-05-07,1,PENDING
TCI-2026-0129,Sara Sethi,sara.sethi@icertis.com,67945,2026-04-27,1,PENDING
TCI-2026-0130,Krish Luthra,krish.luthra@unacademy.com,847118,2026-05-03,1,PENDING
TCI-2026-0131,Aarav Yadav,aarav.yadav@hcl.com,7676,2026-05-26,0,PENDING
TCI-2026-0132,Esha Narayan,esha.narayan@itc.in,55199,2026-04-10,2,PENDING
TCI-2026-0133,Tanya Grover,tanya.grover@itc.in,830241,2026-04-10,4,PENDING
TCI-2026-0134,Avni Agrawal,avni.agrawal@dabur.in,226611,2026-05-07,0,PENDING
TCI-2026-0135,Atharv Wadhwa,atharv.wadhwa@razorpay.com,71786,2026-04-21,1,PENDING
TCI-2026-0136,Bhavya Oberoi,bhavya.oberoi@parle.com,71746,2026-04-27,1,PENDING
TCI-2026-0137,Dhriti Qureshi,dhriti.qureshi@ltts.com,5370,2026-05-15,0,PENDING
TCI-2026-0138,Navya Bedi,navya.bedi@adani.com,224173,2026-04-17,2,PENDING
TCI-2026-0139,Dhriti Vohra,dhriti.vohra@mindtree.com,19497,2026-05-17,0,PENDING
TCI-2026-0140,Zara Sinha,zara.sinha@postman.com,283028,2026-04-21,3,PENDING
TCI-2026-0141,Harsh Khatri,harsh.khatri@sharechat.com,448628,2026-04-30,1,PENDING
TCI-2026-0142,Atharv Yadav,atharv.yadav@mamaearth.in,60687,2026-04-27,2,PENDING
TCI-2026-0143,Vivaan Chawla,vivaan.chawla@tatapower.com,54830,2026-02-12,5,PENDING
TCI-2026-0144,Falguni Trehan,falguni.trehan@rivigo.com,19224,2026-05-04,1,PENDING
TCI-2026-0145,Diya Iyengar,diya.iyengar@haldiram.com,175380,2026-04-21,3,PENDING
TCI-2026-0146,Omkar Garg,omkar.garg@flipkart.in,47054,2026-04-05,3,PAID
TCI-2026-0147,Aadhya Rathore,aadhya.rathore@pharmeasy.in,610109,2026-05-03,1,PENDING
TCI-2026-0148,Jhanvi Wadhwa,jhanvi.wadhwa@wipro.com,8653,2026-04-27,1,PENDING
TCI-2026-0149,Zara Sinha,zara.sinha@dailyhunt.in,347511,2026-05-03,1,PENDING
TCI-2026-0150,Isha Trehan,isha.trehan@1mg.com,125647,2026-04-28,2,PENDING
TCI-2026-0151,Ahana Zaveri,ahana.zaveri@flipkart.in,59185,2026-05-04,1,PENDING
TCI-2026-0152,Dev Hora,dev.hora@postman.com,27206,2026-05-26,0,PENDING
TCI-2026-0153,Ishaan Zaveri,ishaan.zaveri@dream11.com,36646,2026-04-08,3,PAID
TCI-2026-0154,Tanya Madan,tanya.madan@1mg.com,18003,2026-04-27,2,PENDING
TCI-2026-0155,Bhavya Dalal,bhavya.dalal@tatapower.com,34861,2026-05-09,0,PENDING
TCI-2026-0156,Arnav Jolly,arnav.jolly@zerodha.com,1120578,2026-04-19,2,PENDING
TCI-2026-0157,Falguni Oberoi,falguni.oberoi@techmahindra.com,42609,2026-04-24,1,PENDING
TCI-2026-0158,Bhavya Chakraborty,bhavya.chakraborty@innovaccer.com,84607,2026-03-22,5,PENDING
TCI-2026-0159,Arjun Puri,arjun.puri@mdt.co.in,5266,2026-04-22,3,PENDING
TCI-2026-0160,Sai Tandon,sai.tandon@icertis.com,50303,2026-04-13,4,PENDING
TCI-2026-0161,Sai Upadhyay,sai.upadhyay@icertis.com,523506,2026-04-23,3,PENDING
TCI-2026-0162,Vedant Lamba,vedant.lamba@britannia.co.in,12327,2026-04-24,3,PENDING
TCI-2026-0163,Aditya Emani,aditya.emani@dream11.com,53524,2026-01-18,5,PENDING
TCI-2026-0164,Charvi Yadav,charvi.yadav@reliance.com,126823,2026-05-03,1,PENDING
TCI-2026-0165,Falguni Hora,falguni.hora@zerodha.com,42234,2026-05-04,0,PENDING
TCI-2026-0166,Hina Iyengar,hina.iyengar@britannia.co.in,160625,2026-05-01,0,PENDING
TCI-2026-0167,Sara Bedi,sara.bedi@zoho.com,10371,2026-05-06,1,PENDING
TCI-2026-0168,Ira Xalxo,ira.xalxo@byju.com,185170,2026-03-11,3,PENDING
TCI-2026-0169,Dev Dalal,dev.dalal@zerodha.com,6188,2026-01-15,4,PENDING
TCI-2026-0170,Ananya Oberoi,ananya.oberoi@innovaccer.com,73846,2026-05-05,1,PENDING
TCI-2026-0171,Krishna Qureshi,krishna.qureshi@delhivery.com,701556,2026-04-14,3,PENDING
TCI-2026-0172,Avni Rastogi,avni.rastogi@itc.in,67914,2026-05-05,1,PENDING
TCI-2026-0173,Falguni Vashisht,falguni.vashisht@meesho.com,152170,2026-05-07,0,PENDING
TCI-2026-0174,Riya Grover,riya.grover@upstox.com,39383,2026-04-17,3,PENDING
TCI-2026-0175,Ananya Zaveri,ananya.zaveri@phonepe.com,18627,2026-03-25,2,PAID
TCI-2026-0176,Aditya Grover,aditya.grover@swiggy.com,211958,2026-05-07,1,PENDING
TCI-2026-0177,Ahana Zaveri,ahana.zaveri@ola.in,27911,2026-04-27,2,PENDING
TCI-2026-0178,Aarav Jain,aarav.jain@amul.coop,165398,2026-05-03,0,PENDING
TCI-2026-0179,Rishi Vohra,rishi.vohra@meesho.com,125901,2026-04-22,3,PENDING
TCI-2026-0180,Aadhya Upadhyay,aadhya.upadhyay@groww.in,390680,2026-04-23,3,PENDING
TCI-2026-0181,Aarav Handa,aarav.handa@ltts.com,74500,2026-04-12,3,PENDING
TCI-2026-0182,Kabir Emani,kabir.emani@delhivery.com,198905,2026-04-26,1,PENDING
TCI-2026-0183,Aadhya Pant,aadhya.pant@postman.com,27723,2026-04-30,0,PENDING
TCI-2026-0184,Bhavya Chawla,bhavya.chawla@innovaccer.com,78749,2026-05-12,0,PENDING
TCI-2026-0185,Ahana Agrawal,ahana.agrawal@swiggy.com,291739,2026-04-25,3,PENDING
TCI-2026-0186,Omkar Jain,omkar.jain@sharechat.com,48122,2026-04-19,2,PENDING
TCI-2026-0187,Aarav Qureshi,aarav.qureshi@flipkart.in,5947,2026-05-02,1,PENDING
TCI-2026-0188,Myra Oberoi,myra.oberoi@haldiram.com,209056,2026-04-17,4,PENDING
TCI-2026-0189,Ira Bajpai,ira.bajpai@swiggy.com,14504,2026-04-28,2,PENDING
TCI-2026-0190,Navya Luthra,navya.luthra@dailyhunt.in,89127,2026-04-17,3,PENDING
TCI-2026-0191,Dhruv Madan,dhruv.madan@wipro.com,82118,2026-05-04,1,PENDING
TCI-2026-0192,Aishwarya Dalal,aishwarya.dalal@swiggy.com,7265,2026-03-21,4,PENDING
TCI-2026-0193,Nisha Sinha,nisha.sinha@zoho.com,442116,2026-04-24,3,PENDING
TCI-2026-0194,Sia Madan,sia.madan@cred.club,19381,2026-05-14,0,PENDING
TCI-2026-0195,Ishan Tandon,ishan.tandon@reliance.com,21752,2026-04-29,1,PENDING
TCI-2026-0196,Aadhya Hora,aadhya.hora@makemytrip.com,13104,2026-05-06,0,PENDING
TCI-2026-0197,Sai Sinha,sai.sinha@dream11.com,934224,2026-02-15,3,PENDING
TCI-2026-0198,Zara Kohli,zara.kohli@mindtree.com,13567,2026-05-15,0,PENDING
TCI-2026-0199,Aditya Jolly,aditya.jolly@lenskart.com,40777,2026-05-08,1,PENDING
TCI-2026-0200,Myra Dalal,myra.dalal@techmahindra.com,48117,2026-05-01,2,PENDING
TCI-2026-0201,Arnav Xalxo,arnav.xalxo@icertis.com,71871,2026-03-23,3,PENDING
TCI-2026-0202,Atharv Sinha,atharv.sinha@browserstack.com,228219,2026-04-07,5,PENDING
TCI-2026-0203,Charvi Puri,charvi.puri@delhivery.com,386440,2026-04-10,3,PENDING
TCI-2026-0204,Ishaan Hora,ishaan.hora@dream11.com,24607,2026-04-30,1,PENDING
TCI-2026-0205,Ayaan Fernandes,ayaan.fernandes@ltts.com,323867,2026-05-01,2,PENDING
TCI-2026-0206,Advait Arora,advait.arora@ltts.com,11690,2026-05-05,0,PENDING
TCI-2026-0207,Krishna Emani,krishna.emani@zomato.com,258981,2026-04-18,3,PENDING
TCI-2026-0208,Arjun Jain,arjun.jain@druva.com,78099,2026-04-27,1,PENDING
TCI-2026-0209,Diya Bedi,diya.bedi@haldiram.com,125031,2026-04-18,2,PENDING
TCI-2026-0210,Myra Chawla,myra.chawla@mphasis.com,225672,2026-03-10,4,PAID
TCI-2026-0211,Charvi Yadav,charvi.yadav@razorpay.com,13408,2026-04-11,2,PENDING
TCI-2026-0212,Ira Arora,ira.arora@boAt.in,285399,2026-04-22,2,PENDING
TCI-2026-0213,Krishna Madan,krishna.madan@rivigo.com,756362,2026-04-10,3,PENDING
TCI-2026-0214,Rishi Garg,rishi.garg@zoho.com,83800,2026-04-15,3,PENDING
TCI-2026-0215,Ayaan Tandon,ayaan.tandon@zomato.com,92464,2026-03-06,5,PENDING
TCI-2026-0216,Ira Datta,ira.datta@ola.in,235133,2026-05-05,0,PENDING
TCI-2026-0217,Falguni Iyengar,falguni.iyengar@adani.com,5123,2026-05-06,0,PENDING
TCI-2026-0218,Mahira Luthra,mahira.luthra@britannia.co.in,12710,2026-05-20,0,PENDING
TCI-2026-0219,Harsh Mehra,harsh.mehra@freshworks.com,10622,2026-05-03,0,PENDING
TCI-2026-0220,Aadhya Jolly,aadhya.jolly@mindtree.com,72550,2026-05-11,0,PENDING
TCI-2026-0221,Rudra Puri,rudra.puri@paytm.com,215376,2026-04-18,3,PENDING
TCI-2026-0222,Reyansh Tandon,reyansh.tandon@phonepe.com,1157845,2026-01-13,3,PENDING
TCI-2026-0223,Dhriti Walia,dhriti.walia@byju.com,55773,2026-01-10,5,PENDING
TCI-2026-0224,Tanya Sethi,tanya.sethi@postman.com,4364,2026-04-30,2,PENDING
TCI-2026-0225,Myra Madan,myra.madan@mamaearth.in,48310,2026-05-26,0,PENDING
TCI-2026-0226,Rishi Fernandes,rishi.fernandes@boAt.in,212191,2026-04-18,2,PENDING
TCI-2026-0227,Sara Dalal,sara.dalal@haldiram.com,252264,2026-05-04,0,PENDING
TCI-2026-0228,Shaurya Madan,shaurya.madan@delhivery.com,207383,2026-05-03,1,PENDING
TCI-2026-0229,Ishan Chawla,ishan.chawla@innovaccer.com,64354,2026-03-12,4,PENDING
TCI-2026-0230,Bhavya Sethi,bhavya.sethi@wipro.com,585536,2026-04-11,2,PENDING
TCI-2026-0231,Darsh Iyengar,darsh.iyengar@postman.com,544324,2026-04-30,1,PENDING
TCI-2026-0232,Gauri Zaveri,gauri.zaveri@udaan.com,66684,2026-04-10,3,PENDING
TCI-2026-0233,Sia Datta,sia.datta@dabur.in,49539,2026-04-30,0,PENDING
TCI-2026-0234,Saanvi Dalal,saanvi.dalal@rivigo.com,1081756,2026-04-27,1,PENDING
TCI-2026-0235,Ayaan Narayan,ayaan.narayan@zoho.com,24579,2026-05-07,1,PENDING
TCI-2026-0236,Aanya Bajpai,aanya.bajpai@haldiram.com,67010,2026-02-24,4,PENDING
TCI-2026-0237,Parth Narayan,parth.narayan@druva.com,377395,2026-04-12,3,PENDING
TCI-2026-0238,Riya Iyengar,riya.iyengar@zerodha.com,134004,2026-05-09,1,PENDING
TCI-2026-0239,Ananya Kohli,ananya.kohli@browserstack.com,31542,2026-05-02,1,PENDING
TCI-2026-0240,Dhruv Fernandes,dhruv.fernandes@zoho.com,455506,2026-04-30,2,PENDING
TCI-2026-0241,Falguni Sinha,falguni.sinha@reliance.com,48499,2026-05-24,0,PENDING
TCI-2026-0242,Darsh Kohli,darsh.kohli@parle.com,34364,2026-05-03,1,PENDING
TCI-2026-0243,Shaurya Khatri,shaurya.khatri@groww.in,853462,2026-04-30,0,PENDING
TCI-2026-0244,Kiara Puri,kiara.puri@ola.in,69480,2026-05-02,0,PENDING
TCI-2026-0245,Krish Arora,krish.arora@adani.com,61587,2026-04-26,0,PENDING
TCI-2026-0246,Diya Hora,diya.hora@druva.com,144294,2026-04-23,1,PENDING
TCI-2026-0247,Tanya Mehra,tanya.mehra@cred.club,984278,2026-04-24,3,PENDING
TCI-2026-0248,Ananya Rathore,ananya.rathore@parle.com,998530,2026-04-19,1,PENDING
TCI-2026-0249,Advait Jain,advait.jain@nykaa.com,266507,2026-05-01,2,PENDING
TCI-2026-0250,Ishan Chakraborty,ishan.chakraborty@browserstack.com,69955,2026-05-10,0,PENDING
TCI-2026-0251,Dhriti Bajpai,dhriti.bajpai@persistent.com,511560,2026-04-11,4,PENDING
TCI-2026-0252,Arjun Emani,arjun.emani@paytm.com,191653,2026-05-06,1,PENDING
TCI-2026-0253,Dhriti Vohra,dhriti.vohra@1mg.com,737469,2026-05-09,0,PENDING
TCI-2026-0254,Vihaan Mehra,vihaan.mehra@groww.in,393929,2026-04-19,3,PENDING
TCI-2026-0255,Saanvi Iyengar,saanvi.iyengar@unacademy.com,3814,2026-03-12,5,PENDING
TCI-2026-0256,Ishan Lamba,ishan.lamba@phonepe.com,14280,2026-04-16,2,PENDING
TCI-2026-0257,Ishaan Fernandes,ishaan.fernandes@persistent.com,936925,2026-04-20,3,PENDING
TCI-2026-0258,Darsh Lamba,darsh.lamba@ltts.com,43429,2026-04-26,0,PENDING
TCI-2026-0259,Isha Zaveri,isha.zaveri@upstox.com,24707,2026-04-16,2,PENDING
TCI-2026-0260,Ishan Dalal,ishan.dalal@patanjali.com,6095,2026-04-20,3,PENDING
TCI-2026-0261,Gauri Grover,gauri.grover@adani.com,213980,2026-05-03,0,PENDING
TCI-2026-0262,Ayaan Jolly,ayaan.jolly@mamaearth.in,289743,2026-04-19,2,PENDING
TCI-2026-0263,Diya Narayan,diya.narayan@dabur.in,7997,2026-04-20,3,PENDING
TCI-2026-0264,Myra Arora,myra.arora@mphasis.com,285216,2026-05-07,0,PENDING
TCI-2026-0265,Sara Hora,sara.hora@haldiram.com,37937,2026-03-01,2,PAID
TCI-2026-0266,Pihu Pant,pihu.pant@amul.coop,4067,2026-01-26,3,PENDING
TCI-2026-0267,Dhruv Vashisht,dhruv.vashisht@flipkart.in,16708,2026-05-10,0,PENDING
TCI-2026-0268,Hina Xalxo,hina.xalxo@patanjali.com,792631,2026-05-03,0,PENDING
TCI-2026-0269,Isha Wadhwa,isha.wadhwa@dailyhunt.in,9337,2026-04-19,2,PENDING
TCI-2026-0270,Charvi Luthra,charvi.luthra@dabur.in,133094,2026-04-28,0,PENDING
TCI-2026-0271,Omkar Xalxo,omkar.xalxo@amul.coop,10460,2026-05-04,1,PENDING
TCI-2026-0272,Aishwarya Vashisht,aishwarya.vashisht@zerodha.com,24911,2026-05-06,0,PENDING
TCI-2026-0273,Riya Sethi,riya.sethi@cred.club,966000,2026-04-16,3,PENDING
TCI-2026-0274,Aadhya Chawla,aadhya.chawla@nykaa.com,22774,2026-04-18,3,PENDING
TCI-2026-0275,Rudra Wadhwa,rudra.wadhwa@reliance.com,69513,2026-04-01,4,PENDING
